uuid,human_frame_0,human_frame_1,human_frame_2,human_frame_3,human_frame_4,human_frame_5,human_frame_6,all_human_frames
7f89dfc0-5a8e-4f8c-aa2d-3589d79dd769,,,crime and punishment,,,,,crime and punishment
7fa397b8-2d76-48cc-b01d-5d49b3d6321a,,quality of life,,political,political,cultural identity,,"quality of life, political, political, cultural identity"
7fefe077-6f25-4468-8628-a9935332d64f,cultural identity,,,none,,,cultural identity,"cultural identity, none, cultural identity"
80164efd-4678-4b00-92c6-eec6162e0cf1,,,quality of life,,,,,quality of life
804498a2-26ec-4fa2-8c0b-1fd98567accd,,,political,,,,,political
804da966-3587-4c53-9525-9f739cbef8c1,none,,,,,,none,"none, none"
8157bbce-2c03-431d-8825-11a81730cc70,,"quality of life, health and safety",,,"health and safety, crime and punishment","security and defense, crime and punishment",,"quality of life, health and safety, health and safety, crime and punishment, security and defense, crime and punishment"
8157df79-7491-49bd-b027-a548ac791cf8,none,,,,,,none,"none, none"
8183c3b3-64ee-42f0-b6ad-ae12bdaf471b,,,economic,,,,,economic
81a9e6e5-5437-4220-9d8a-1df1fcb82f7c,,,none,,,,,none
81ad31ea-4560-4d6d-8046-6012a2e3f764,,,,none,,,,none
81bb3213-06ad-4b29-b686-f3f91e56e1fd,,,cultural identity,cultural identity,,,,"cultural identity, cultural identity"
81d02e5d-c931-4fb4-af61-275801a60c6f,,public opinion,,,"fairness and equality, public opinion","policy prescription and evaluation, legality_constitutionality_jurisprudence, public opinion, cultural identity",,"public opinion, fairness and equality, public opinion, policy prescription and evaluation, legality_constitutionality_jurisprudence, public opinion, cultural identity"
81f0427b-5216-4d72-84ce-5db86f02ae28,,none,,none,none,public opinion,,"none, none, none, public opinion"
8230cc1e-62ee-4ccc-a765-067db4eb1888,,"quality of life, policy prescription and evaluation",,"political, policy prescription and evaluation, external regulation and reputation",political,political,,"quality of life, policy prescription and evaluation, political, policy prescription and evaluation, external regulation and reputation, political, political"
823a12dc-b45a-42d1-92d3-9676a9591aa3,,,cultural identity,cultural identity,,,,"cultural identity, cultural identity"
82488002-d4fc-4500-9f95-a4915680138c,security and defense,,,"political, security and defense",,,"political, security and defense","security and defense, political, security and defense, political, security and defense"
826a2ecb-225a-4d68-a93d-77c0d443a56e,,,cultural identity,,,,,cultural identity
827c14a8-dc10-4ef4-a8ff-dea0e89f2f9c,,,political,,,,,political
83094c92-4350-45e0-b371-03192f914e92,,,security and defense,"security and defense, cultural identity",,,,"security and defense, security and defense, cultural identity"
837a108e-1347-4e1a-bd6e-a8799817ca34,,cultural identity,,cultural identity,cultural identity,cultural identity,,"cultural identity, cultural identity, cultural identity, cultural identity"
837b938c-efcf-4378-87a4-24c7773149a6,health and safety,,,,,,none,"health and safety, none"
83cbe3cb-48b8-4f7d-83df-1e9681d93fc9,,,,"fairness and equality, public opinion",,,,"fairness and equality, public opinion"
841b0f2b-eb75-41e4-a483-98340d27db13,,quality of life,,none,quality of life,none,,"quality of life, none, quality of life, none"
842c435b-7ee4-4932-837e-2b6e07a4a199,,security and defense,,,crime and punishment,"security and defense, public opinion, crime and punishment",,"security and defense, crime and punishment, security and defense, public opinion, crime and punishment"
84611075-3c18-43c5-9ef6-8cdc052d228c,,,political,,,,,political
84d4f2cf-5c97-4191-81f4-cbe926e16a18,,political,,,none,none,,"political, none, none"
859f118b-15be-4217-bab8-8c03a6da6c10,,capacity and resources,,,none,health and safety,,"capacity and resources, none, health and safety"
86427e7b-fef5-49a9-8ed5-7818341e2178,health and safety,,,,,,health and safety,"health and safety, health and safety"
868bf2ab-d12c-4038-bfb8-008705f22f08,,,none,,,,,none
86da74d1-60d2-484f-bfad-5452e6b2e1db,,,economic,,,,,economic
86e1cdaa-7774-4fe4-aa6e-7e1ba719eba8,,,health and safety,,,,,health and safety
86ed2d0a-d48a-407b-b1f1-8c0a31d89c8d,,,,"quality of life, public opinion",,,,"quality of life, public opinion"
872c07d3-4db2-4b02-a7dc-602458060df9,,,"quality of life, crime and punishment",,,,,"quality of life, crime and punishment"
87412eb7-fde9-4836-b39d-4210e142b48f,cultural identity,,,none,,,none,"cultural identity, none, none"
87d575f0-d6a2-4ec9-bb0d-acaeda8ea8b8,,quality of life,,,none,"health and safety, public opinion",,"quality of life, none, health and safety, public opinion"
886990ff-ae62-4c23-94b4-8a6e0a148413,,,health and safety,,,,,health and safety
89285623-e79e-47e0-a65d-782eb2d46794,,,none,,,,,none
892a29d0-0f7b-47d1-acc7-00d1181e12e6,,,,cultural identity,,,,cultural identity
8946c6c5-020f-48af-baa4-5bd29aa15d1f,,,,none,,,,none
8971aa3e-978a-4efb-b35e-aedf23fd0800,,none,,,quality of life,"quality of life, economic",,"none, quality of life, quality of life, economic"
89bf960e-ad6f-49cb-8773-ea91f2da6998,,,cultural identity,,,,,cultural identity
89c4fb5e-bb10-4200-be93-bd87a0c089f9,none,,,,,,none,"none, none"
89f04435-4c85-4059-be08-5024cdee34ca,,,security and defense,,,,,security and defense
8a1bc3c6-f069-4dc9-9bb3-dba301c61bd6,,capacity and resources,,,capacity and resources,economic,,"capacity and resources, capacity and resources, economic"
8a5be95e-0f5f-482d-8311-5b2bb56ddbea,,health and safety,,health and safety,health and safety,health and safety,,"health and safety, health and safety, health and safety, health and safety"
8a73aa28-1500-47a5-9912-399618030b3a,,,none,,,,,none
8aaf9309-b194-4e07-9a4b-be4516807674,capacity and resources,,,none,,,quality of life,"capacity and resources, none, quality of life"
8aec485c-7387-4e83-88dc-efb5fb856298,,,,"security and defense, legality_constitutionality_jurisprudence",,,,"security and defense, legality_constitutionality_jurisprudence"
8b2d75ab-8f43-4c29-babb-d0b02f6fc406,,,none,,,,,none
8b6ef429-e84d-4bd0-8cc3-ca3fc5f91032,,public opinion,,none,"fairness and equality, public opinion","quality of life, political, policy prescription and evaluation, legality_constitutionality_jurisprudence, cultural identity",,"public opinion, none, fairness and equality, public opinion, quality of life, political, policy prescription and evaluation, legality_constitutionality_jurisprudence, cultural identity"
8b71a01b-6c5a-4a0c-a369-8c6aa33eeeca,,,,none,,,,none
8bb6eeee-7b7b-4e76-a0e1-84eed0f66869,,,quality of life,,,,,quality of life
8c2e0038-0dc5-440a-af63-7c9fc7d66c73,,none,,,cultural identity,none,,"none, cultural identity, none"
8c4d7f1d-2082-4599-b445-93a199d704da,,,none,,,,,none
8c551a14-30b3-40cf-a4f9-f5262280779a,,,,none,,,,none
8c59f3c5-7f2b-467a-8a2e-c61c31908a29,quality of life,,,,,,none,"quality of life, none"
8c6c04b0-f1f3-464d-951c-cb5bf666ad73,,quality of life,,none,none,"quality of life, political, security and defense, health and safety, legality_constitutionality_jurisprudence, crime and punishment",,"quality of life, none, none, quality of life, political, security and defense, health and safety, legality_constitutionality_jurisprudence, crime and punishment"
8cb69274-0dcc-4c28-95a0-60bee1ccdeff,political,,,public opinion,,,public opinion,"political, public opinion, public opinion"
8cbae859-a42a-4604-85c9-c390be480cb8,,,none,,,,,none
8ccdb40c-a6d3-4d59-8cc6-50fbaabf2fdc,,public opinion,,,"fairness and equality, public opinion","political, legality_constitutionality_jurisprudence, public opinion, external regulation and reputation",,"public opinion, fairness and equality, public opinion, political, legality_constitutionality_jurisprudence, public opinion, external regulation and reputation"
8ce7b10a-2386-4d29-a840-023eecf836e3,security and defense,,,,,,crime and punishment,"security and defense, crime and punishment"
8d5df838-82e0-498b-bccb-99c0d2af8a3d,,,quality of life,,,,,quality of life
8d805300-3e96-4b2a-91a6-a84a1647abca,,,,political,,,,political
8ddfa0c8-57fa-4a95-b9be-bb16b4b7a86a,,,none,,,,,none
8de2836b-4eb4-4789-b613-a8c552b33f05,,health and safety,,,health and safety,"health and safety, crime and punishment",,"health and safety, health and safety, health and safety, crime and punishment"
8dffb7b2-93c6-471e-bed1-a6e2901f7e1d,none,,,,,,none,"none, none"
8e39039e-a5d6-4efe-a204-52a375af1b65,,,political,,,,,political
8e4b7aa3-6d0e-4d12-9ea4-2fa9376ee580,health and safety,,,,,,none,"health and safety, none"
8e623964-3195-42b9-9c53-90d5c4175463,,"security and defense, health and safety",,,security and defense,"security and defense, health and safety, crime and punishment",,"security and defense, health and safety, security and defense, security and defense, health and safety, crime and punishment"
8ee40841-546e-40f6-bc0e-13fa746971c7,none,,,,,,none,"none, none"
8f073447-4efc-4e2c-a055-c7b887e2375c,political,,,,,,political,"political, political"
8f49241e-a197-4465-bc17-d0e6583a09c8,,,,none,,,,none
8f5192f7-d6c9-47f5-b53e-031013e60dc9,,capacity and resources,,,capacity and resources,"capacity and resources, economic",,"capacity and resources, capacity and resources, capacity and resources, economic"
8f8a4ee7-be52-4137-8678-d0f71ead8c28,,,quality of life,,,,,quality of life
8fd8f124-ecb4-47e5-8b58-47a3ced3a2f3,none,,,,,,quality of life,"none, quality of life"
8ff32ecd-71dd-404b-87cc-2905748864c5,,,,political,,,,political
8ff3d1eb-6b34-4f5b-9c43-cec9d48b806d,,"quality of life, capacity and resources",,,capacity and resources,"quality of life, political, security and defense, health and safety, economic, crime and punishment",,"quality of life, capacity and resources, capacity and resources, quality of life, political, security and defense, health and safety, economic, crime and punishment"
9070ec19-1580-4ff9-85b8-446243e1e22b,health and safety,,,,,,"health and safety, crime and punishment","health and safety, health and safety, crime and punishment"
907742ae-269a-451e-a06a-a0cb2ad0dd7d,,,health and safety,,,,,health and safety
90945ae0-6a44-4e97-b1c5-7ecedd172efe,,,health and safety,,,,,health and safety
90e684df-9a83-41a2-b5cd-4c0ffe58f903,political,,,,,,political,"political, political"
912e5294-644a-4716-8392-d116f2a53f4f,political,,,,,,cultural identity,"political, cultural identity"
916b633a-05cc-4501-a049-f2213db250f1,,cultural identity,,,cultural identity,cultural identity,,"cultural identity, cultural identity, cultural identity"
91c7f389-c67d-4bb0-9a19-afccbea78477,,,,"morality, cultural identity",,,,"morality, cultural identity"
9233818f-0e05-40bd-b56b-da7cce60fb35,,,,public opinion,,,,public opinion
92c6ea8f-7dbc-4f6a-91b1-9cd532e27c42,,"quality of life, capacity and resources",,,none,health and safety,,"quality of life, capacity and resources, none, health and safety"
92d09364-ba42-415d-87c6-25b48d397009,,,cultural identity,,,,,cultural identity
931fe0c6-2b05-47e4-a65f-f89f2fc3e673,,,,quality of life,,,,quality of life
9325dd45-6c5d-4118-9b30-45e346870095,,,,political,,,,political
9372900b-b33c-4f34-aec0-9c3a7e473f3e,,,,none,,,,none
93e08769-4a20-427b-acb1-4cc0de12eadf,,cultural identity,,,quality of life,"economic, public opinion, cultural identity, crime and punishment",,"cultural identity, quality of life, economic, public opinion, cultural identity, crime and punishment"
94777ded-df33-4f3e-9350-3553caf1660b,,none,,none,none,political,,"none, none, none, political"
947e6162-c503-45e7-86cf-c51d1456648f,,political,,political,political,"quality of life, capacity and resources, political, security and defense, policy prescription and evaluation, fairness and equality, health and safety, legality_constitutionality_jurisprudence, morality, economic, public opinion, cultural identity, external regulation and reputation, crime and punishment",,"political, political, political, quality of life, capacity and resources, political, security and defense, policy prescription and evaluation, fairness and equality, health and safety, legality_constitutionality_jurisprudence, morality, economic, public opinion, cultural identity, external regulation and reputation, crime and punishment"
947e9be7-4e2e-408a-8ae8-36a345d6683c,,,,none,,,,none
94be36b3-8be5-4557-843c-d8e94f4ec92a,,,quality of life,,,,,quality of life
9520f820-f18e-43d6-81bf-0184554aacab,economic,,,,,,none,"economic, none"
9569cfea-28e3-48d5-91ea-10aa1d15aaf7,,capacity and resources,,,none,health and safety,,"capacity and resources, none, health and safety"
95a440f1-da8b-483f-8043-6ccf8ab0168a,,,none,,,,,none
9641068c-f158-4e55-bc1b-7e4fc7fe8270,,,health and safety,,,,,health and safety
9666d7b0-409e-4dc6-a73f-80aed9080a34,,political,,,political,"political, policy prescription and evaluation, fairness and equality, legality_constitutionality_jurisprudence",,"political, political, political, policy prescription and evaluation, fairness and equality, legality_constitutionality_jurisprudence"
967a5781-6485-4130-9842-6c7cd30b713a,,none,,,"quality of life, capacity and resources","security and defense, health and safety",,"none, quality of life, capacity and resources, security and defense, health and safety"
968de4e9-d23e-4228-86b0-5a8649e77826,,,cultural identity,,,,,cultural identity
96dbc3c7-87e3-4443-ae5e-fbec12a2617d,none,,,,,,cultural identity,"none, cultural identity"
96f4d02e-eda5-4a9e-a56f-6cbf9404dd43,,,cultural identity,,,,,cultural identity
970dc240-4efc-49f0-8532-70bf71e9f90e,none,,,,,,none,"none, none"
9762c4ee-8ba6-4d2a-985e-199b8856567f,,"political, public opinion",,,"quality of life, political",political,,"political, public opinion, quality of life, political, political"
97d89769-1677-49e7-9ff9-a55d9b1b1afb,cultural identity,,,,,,quality of life,"cultural identity, quality of life"
97f5df08-d7d0-412d-b617-9088d9d033c4,,fairness and equality,,,none,cultural identity,,"fairness and equality, none, cultural identity"
9887a8a0-ca40-4215-808a-4dbd7dc1bb8c,,,,none,,,,none
98bda026-30e4-4dee-b1e6-8a8686cbb664,quality of life,,,,,,none,"quality of life, none"
98f94a31-195b-4788-bb32-fa74f1c2069b,,,cultural identity,,,,,cultural identity
99059232-da52-4ccc-a76f-f7572a57e01d,none,,,,,,none,"none, none"
99a16255-a74e-4195-9713-5000366a3b8e,,capacity and resources,,,none,"quality of life, health and safety",,"capacity and resources, none, quality of life, health and safety"
99b356bc-1b22-462c-8962-35194368f007,political,,,,,,"political, security and defense, crime and punishment","political, political, security and defense, crime and punishment"
99b80069-0c16-490a-aeaf-cf5852b1e3ac,,,quality of life,public opinion,,,,"quality of life, public opinion"
99d97042-1450-4903-9cbd-058b1af15115,,,none,,,,,none
9a735c8d-283e-4346-8bb0-f5f474a47d50,,,,none,,,,none
9a8cf2d8-2fbc-4c34-ace3-70cf864667f6,,,,crime and punishment,,,,crime and punishment
9a8e39fe-a62b-4c62-b3fc-2c57a3a18b58,economic,,,,,,none,"economic, none"
9a90bf95-b111-44f9-b1bb-4676dfb8eaa8,,,none,,,,,none
9a9d6679-4dfc-4c48-b437-603f3631c202,,,,quality of life,,,,quality of life
9b3287e6-caf4-450a-acba-2699bbf1f59f,,,,none,,,,none
9b4d5979-a374-4d74-9aa5-ee3dd395a60c,,,none,,,,,none
9b86f45a-71d1-4775-ac99-e9c65b3607ab,,,,none,,,,none
9b966da2-8779-4bbb-8687-b10f8df6110b,security and defense,,,,,,"health and safety, crime and punishment","security and defense, health and safety, crime and punishment"
9b9f0339-5824-47b9-9ad7-bc46dcd1f273,political,,,,,,"public opinion, cultural identity","political, public opinion, cultural identity"
9bfe5785-207d-4ee5-927a-6ed900ae5d50,,,none,none,,,,"none, none"
9c549e1f-7427-4303-9e19-9a0c61d9b62b,,,none,,,,,none
9c5fe5d5-f7a1-47c9-8baf-a46167d5a6b7,political,,,,,,none,"political, none"
9cd219b6-f20e-4681-96f8-53cca9e60a64,,none,,,none,public opinion,,"none, none, public opinion"
9de8c80f-f891-4f98-a2a8-e6e93ab92d7a,,,,none,,,,none
9e16236b-4913-4f6b-8eaa-be8f8a2c227c,,capacity and resources,,,capacity and resources,"capacity and resources, economic",,"capacity and resources, capacity and resources, capacity and resources, economic"
9e1bf72c-cafa-4a6c-aeb4-61ad06d16f8e,,cultural identity,,,none,quality of life,,"cultural identity, none, quality of life"
9e2ad951-9847-4150-b907-029d0909d48f,quality of life,,,,,,none,"quality of life, none"
9e3fdc2b-abf0-4268-bd8d-f0e4945a5640,health and safety,,,,,,quality of life,"health and safety, quality of life"
9e4e312d-357d-4733-91d2-be9b1b0edba1,,"security and defense, health and safety",,,"health and safety, crime and punishment",health and safety,,"security and defense, health and safety, health and safety, crime and punishment, health and safety"
9e61edae-64b5-4875-915c-47faca96e634,,,none,,,,,none
9ebcfe80-a40c-44b2-9e4f-726b37f24e5d,,"quality of life, capacity and resources",,none,capacity and resources,"quality of life, political, security and defense, health and safety, economic",,"quality of life, capacity and resources, none, capacity and resources, quality of life, political, security and defense, health and safety, economic"
9edaa4ee-9af8-4d27-b680-056eb9c456c9,,political,,political,,political,,"political, political, , political"
9f1c7753-d6e8-4ada-9609-8ccb627178b9,political,,,,,,none,"political, none"
9f51e462-b0b2-4457-8e16-696f3fc8b810,,,public opinion,,,,,public opinion
9fff29f3-6637-4cad-a3c2-f24d57d8a88b,political,,,,,,political,"political, political"
a00c103b-d8d9-4167-8244-8e73695b3dff,health and safety,,,,,,quality of life,"health and safety, quality of life"
a0423929-2d52-4a74-bf6b-caf874dbe39d,,,cultural identity,,,,,cultural identity
a083d8d8-9e66-4ce2-897a-ad76d8351c30,,capacity and resources,,,none,health and safety,,"capacity and resources, none, health and safety"
a08e255c-69b7-406f-a4dc-1f936c2d7ee7,,political,,,political,political,,"political, political, political"
a0e4cb97-f4ac-4601-9261-97cf2209ed4b,,quality of life,,,cultural identity,none,,"quality of life, cultural identity, none"
a0f22bde-fd7e-4aa4-9246-faf5ff42164e,,capacity and resources,,,none,"quality of life, capacity and resources",,"capacity and resources, none, quality of life, capacity and resources"
a156108e-bb1a-4a47-b9e5-5bb3526b6ed8,,,political,none,,,,"political, none"
a164d09b-55a3-42d4-89ee-a3087fcb0c40,political,,,,,,health and safety,"political, health and safety"
a21588f9-279c-4f9c-ae39-f832198a5990,,,,"security and defense, crime and punishment",,,,"security and defense, crime and punishment"
a2e80834-d051-4cb3-82c2-851985c2b643,,,none,,,,,none
a3156950-2290-4d5f-bf75-ddaa14ce578c,,political,,,none,political,,"political, none, political"
a32e9854-4710-483f-8dfb-e0077567e08a,,,,none,,,,none
a34661d2-9215-4e02-8c25-1ec95c73cb62,,,,political,,,,political
a3838535-c3ba-4350-b8d6-26fa0f5ff4d5,,,,external regulation and reputation,,,,external regulation and reputation
a3df7f93-24c8-4f53-a443-07c02a51bb6f,,,,quality of life,,,,quality of life
a40070df-03fc-475e-8610-1f9695af166e,,none,,none,none,cultural identity,,"none, none, none, cultural identity"
a438d764-1284-4a4f-8994-10a63cb5431f,,,none,,,,,none
a4aeeb0d-6118-42dd-8296-99bcc2311541,,,none,none,,,,"none, none"
a4db4b29-8952-409b-a79a-68a664a46120,,,economic,,,,,economic
a506b9f9-b540-4531-a425-58d75698a300,,,none,,,,,none
a52faf9b-33b0-4901-8301-e298e4037195,,,,none,,,,none
a57ec15f-b030-47e0-943e-267310724960,,cultural identity,,,cultural identity,cultural identity,,"cultural identity, cultural identity, cultural identity"
a5d7df9d-5680-49d7-8c48-01e849b2a8af,,,quality of life,,,,,quality of life
a6160e25-c2b5-48aa-859a-2cb11f8584fd,,,,none,,,,none
a68febe4-0fc8-4a2a-a285-26698963c0fc,,,none,quality of life,,,,"none, quality of life"
a6ef2a3f-e305-4cfb-83e0-388d28cf8748,,none,,,none,"quality of life, cultural identity",,"none, none, quality of life, cultural identity"
a71df71d-947c-43d8-b283-be74c0d6ac83,,,,security and defense,,,,security and defense
a773ba4f-7001-4ea7-83cb-003d2825588e,,none,,,none,public opinion,,"none, none, public opinion"
a79dd853-139e-420b-ab09-ecfa4a612363,,,cultural identity,,,,,cultural identity
a7c925b3-4d41-41e8-a178-717b1057f7c4,cultural identity,,,,,,cultural identity,"cultural identity, cultural identity"
a80f89bd-d6f5-45d7-8d1c-c332d1298b6f,,political,,,"political, public opinion","political, morality, public opinion",,"political, political, public opinion, political, morality, public opinion"
a81eceab-8844-4aa8-9158-1ae514cbb371,capacity and resources,,,,,,quality of life,"capacity and resources, quality of life"
a91c4aff-0469-4061-9050-167596d26656,,capacity and resources,,,none,health and safety,,"capacity and resources, none, health and safety"
a944bc7b-d576-4916-af09-282f9d992bd9,none,,,,,,none,"none, none"
aa7c9d3b-9662-4203-bfec-fd5599df2f45,,,,none,,,,none
aa923877-8ddc-44f8-9b8b-e1756a72add3,political,,,,,,"political, health and safety","political, political, health and safety"
ab36e8c8-6312-4bfc-a197-ebf263762132,,,,quality of life,,,,quality of life
ab77419f-4ba2-487f-adf1-259b9a2e6956,,,,fairness and equality,,,,fairness and equality
ab896eda-ce64-4e0d-a17c-8fbfd796efd8,crime and punishment,,,,,,crime and punishment,"crime and punishment, crime and punishment"
abe8f88d-a282-4f5e-aaa8-4d46f49a02e9,,,,"policy prescription and evaluation, fairness and equality",,,,"policy prescription and evaluation, fairness and equality"
ac48fbbc-45ff-4e26-ac55-66501652803a,,,none,,,,,none
acdddb76-bd83-4089-89e2-814a45921f95,,cultural identity,,,cultural identity,cultural identity,,"cultural identity, cultural identity, cultural identity"
ace252fa-ffd8-47ed-9ad5-c9c12b7534fc,,none,,,none,cultural identity,,"none, none, cultural identity"
ad33cff0-950e-4680-a28d-41ff8419157d,,political,,,none,"health and safety, crime and punishment",,"political, none, health and safety, crime and punishment"
ad3f4ad4-699c-4e7d-ba59-427abe69b64d,capacity and resources,,,,,,"policy prescription and evaluation, public opinion","capacity and resources, policy prescription and evaluation, public opinion"
ad4bf9b8-41a9-4f4c-b55e-621069050579,cultural identity,,,,,,economic,"cultural identity, economic"
ad8125cb-d3c9-4eef-aebe-09c04fc130c3,health and safety,,,,,,health and safety,"health and safety, health and safety"
ae00ef51-3dad-4155-bc33-edd1d9f83c6d,,none,,,none,public opinion,,"none, none, public opinion"
ae3e4dad-f812-4b7b-8dca-3f8691dc890f,,capacity and resources,,,none,economic,,"capacity and resources, none, economic"
ae479488-98bc-4971-a687-9f6b93123f76,,,political,,,,,political
ae5df291-4a04-49f3-9a05-92e7dbcac70f,,,security and defense,,,,,security and defense
ae91c812-6ef0-47ff-870c-760772dab1ca,quality of life,,,,,,none,"quality of life, none"
ae9f2e9d-c69d-4289-886f-3b9a76b4079f,,,crime and punishment,,,,,crime and punishment
aea7ebc1-e286-4821-8213-45d96da6976d,,,fairness and equality,,,,,fairness and equality
aeb34cd8-fb25-4c0a-b6c8-26df77ed5efc,,,none,"quality of life, political",,,,"none, quality of life, political"
aeb6f224-a118-491c-8e3a-28502833d3f5,health and safety,,,,,,none,"health and safety, none"
aee7b67d-0b46-46eb-ac2e-690dbe0b4671,none,,,,,,none,"none, none"
af6ab369-a1a2-4463-bcf7-21449b64c9ef,political,,,,,,none,"political, none"
af98b1f5-18f8-48ba-9adf-774a72e3057e,,,cultural identity,,,,,cultural identity
afa7944a-b8c7-4763-ad63-0e4aa1c3eb71,,,none,,,,,none
affdd391-961d-45ab-846a-221ab7419daf,economic,,,,,,none,"economic, none"
b0414abb-9df4-4f04-93b9-0880efda7e24,cultural identity,,,,,,none,"cultural identity, none"
b05d63c4-792a-47dd-9021-2f2914586a4c,cultural identity,,,"quality of life, cultural identity",,,cultural identity,"cultural identity, quality of life, cultural identity, cultural identity"
b09775b4-2c21-47c9-80d5-aec68fa16eaa,quality of life,,,,,,none,"quality of life, none"
b0cd0b7c-36dd-4bcb-a748-b8d5f4239c55,,,"quality of life, economic",,,,,"quality of life, economic"
b0f32cfe-23ec-4ddb-8d72-0ec0c7039f48,,,none,,,,,none
b1122f6e-f238-4758-8754-254ea0a40d5c,health and safety,,,,,,none,"health and safety, none"
b1514996-58c6-49d7-a86f-a79d21631bb5,,,"security and defense, health and safety",,,,,"security and defense, health and safety"
b1722c53-ab6b-4184-8742-d5a9a7a9f12e,,,none,,,,,none
b1fa34d6-6e4e-4dc3-9ccc-e459425a3041,,,cultural identity,,,,,cultural identity
b2014ba8-4e06-40d5-b66e-8fb84f025a05,political,,,,,,none,"political, none"
b210ea76-b530-4ef2-a00d-02649c5a44d3,,,health and safety,,,,,health and safety
b2159871-7bc6-47a0-994c-086b9eaaaab9,,none,,,quality of life,public opinion,,"none, quality of life, public opinion"
b2175acd-8805-4476-8c7e-33cf9c79ecab,none,,,,,,public opinion,"none, public opinion"
b297618d-a412-434e-91c0-eb7710f7abba,quality of life,,,,,,none,"quality of life, none"
b368edbb-d3a9-4516-bc38-2f8df954d3c4,,security and defense,,,none,health and safety,,"security and defense, none, health and safety"
b36b8d53-46c5-43e6-8836-647080f7c97c,,health and safety,,,"health and safety, crime and punishment","quality of life, security and defense, health and safety, public opinion, crime and punishment",,"health and safety, health and safety, crime and punishment, quality of life, security and defense, health and safety, public opinion, crime and punishment"
b3e24c7e-2d65-48d8-9ef7-10bc61b64053,public opinion,,,,,,none,"public opinion, none"
b400b2ec-3350-4615-a370-b2f10c60163a,,economic,,,economic,"quality of life, economic",,"economic, economic, quality of life, economic"
b40607ef-d76a-4f9b-a86d-a84c7f652f04,,,none,,,,,none
b41c5431-6aa8-4802-a334-495f312c5828,,capacity and resources,,,none,health and safety,,"capacity and resources, none, health and safety"
b41e1121-7cfe-4c75-bd7e-9aac529fda50,cultural identity,,,,,,cultural identity,"cultural identity, cultural identity"
b46c3169-20c4-4fb0-a890-07e6cd46081b,,"fairness and equality, cultural identity",,,none,policy prescription and evaluation,,"fairness and equality, cultural identity, none, policy prescription and evaluation"
b48cb611-1642-4482-860c-df96c702539d,quality of life,,,none,,,"quality of life, economic","quality of life, none, quality of life, economic"
b4fd602a-2eb3-4120-a8f9-8df8acf35b6e,,crime and punishment,,,crime and punishment,crime and punishment,,"crime and punishment, crime and punishment, crime and punishment"
b50153dc-8874-40e3-a9b9-4e4ad0e31aad,,,,political,,,,political
b50cad2e-559c-4485-85fa-af931ca08ebb,economic,,,,,,none,"economic, none"
b51f604b-e1a9-42c9-8cce-eaa6053ff444,,,none,,,,,none
b52f3a5e-32c0-4c9d-b874-e5a19c81dad5,,external regulation and reputation,,,public opinion,"quality of life, capacity and resources, public opinion, cultural identity",,"external regulation and reputation, public opinion, quality of life, capacity and resources, public opinion, cultural identity"
b531f23c-975d-4606-98ee-bd23ef77e532,health and safety,,,,,,"security and defense, crime and punishment","health and safety, security and defense, crime and punishment"
b5925d46-aa1d-4f2f-8003-eb96320d641b,security and defense,,,,,,security and defense,"security and defense, security and defense"
b62dbcf9-e789-42ec-b2c6-8e39ce1cc011,health and safety,,,,,,none,"health and safety, none"
b63ec89f-3b2b-477b-ae6c-beaff1f22e0f,health and safety,,,health and safety,,,health and safety,"health and safety, health and safety, health and safety"
b65ecbd0-6c7e-4ee6-919f-85713a14e62b,,quality of life,,,none,health and safety,,"quality of life, none, health and safety"
b6701c40-6a13-4e47-a277-b2b4c28cb02b,health and safety,,,,,,crime and punishment,"health and safety, crime and punishment"
b67b7a81-42e6-425e-9384-950965485a28,cultural identity,,,,,,cultural identity,"cultural identity, cultural identity"
b68eb6b3-2283-4517-9ed5-f7cd2eb92d80,,none,,political,political,"quality of life, political, policy prescription and evaluation, fairness and equality, legality_constitutionality_jurisprudence, morality, economic, public opinion, cultural identity, external regulation and reputation",,"none, political, political, quality of life, political, policy prescription and evaluation, fairness and equality, legality_constitutionality_jurisprudence, morality, economic, public opinion, cultural identity, external regulation and reputation"
b71818c3-1820-4342-9e16-a21184266c8f,,quality of life,,,none,"quality of life, economic, cultural identity",,"quality of life, none, quality of life, economic, cultural identity"
b729d19b-ac87-4538-b81a-fed03e286c8a,none,,,none,,,none,"none, none, none"
b768ff84-0b23-46b0-b21d-a772461c29e1,crime and punishment,,,,,,none,"crime and punishment, none"
b7c54e67-09c0-4913-9abe-7eead5aae9dd,,,none,,,,,none
b7d8f189-0ddf-4150-ad3d-304e39532789,,,cultural identity,,,,,cultural identity
b81a4278-fd57-4dc4-87b1-529d8bffab01,,,cultural identity,,,,,cultural identity
b824fbb3-3ed1-4121-ab30-7bd5ee5aa89f,,,political,,,,,political
b86a043e-55ac-4ed6-a32b-43de728e7bf1,none,,,,,,none,"none, none"
b8eb6159-54b9-4134-b227-1a607bfbe7e2,,,none,,,,,none
b8ed547b-755a-43d8-99eb-318a784dc36b,,,,none,,,,none
b9832014-3688-491b-ac36-3707b076f4a9,economic,,,,,,economic,"economic, economic"
b9bc03c9-c711-47d4-8c1a-89189edd3322,health and safety,,,,,,health and safety,"health and safety, health and safety"
